# BEAST v1.10.1
# Generated Wed Aug 22 09:35:54 CEST 2018 [seed=1534923353837]
# -beagle_SSE -overwrite YFV.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(americas)	age(americas)	constant.popSize	CP1.kappa	CP2.kappa	CP3.kappa	CP1.frequencies1	CP1.frequencies2	CP1.frequencies3	CP1.frequencies4	CP2.frequencies1	CP2.frequencies2	CP2.frequencies3	CP2.frequencies4	CP3.frequencies1	CP3.frequencies2	CP3.frequencies3	CP3.frequencies4	CP1.alpha	CP2.alpha	CP3.alpha	CP1.mu	CP2.mu	CP3.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-17371.723160770514	-176.12899235987598	-17195.59416841064	71.66902720903177	1937.3309727909682	116.56025405544841	55.61341527609329	1953.3865847239067	1.0	2.0	2.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.5	0.5	1.0	1.0	1.0	1.0	0.3333333333333333	0.9569186176026417	0.3210436850344063	0.059119653599165864	-17195.59416841064	0.0	-57.799453222951314
50000	-7747.8286154322805	-339.8435243331817	-7407.985091099099	132.06992728459733	1876.9300727154027	667.873352793616	56.88730122787767	1952.1126987721223	30.917926673829594	10.736255979521319	7.282758312544662	16.53370556437201	0.22274400550496168	0.31888051440052445	0.2770971527076408	0.18127832738687308	0.27984892810593054	0.21428633447817935	0.23950596694392595	0.2663587704719643	0.21264122502658547	0.24575803177695307	0.2530638232376615	0.28853691995879993	0.11424407938450189	0.06772637971317001	0.6824919475559219	0.5132645894155259	0.0822560051610763	2.4044794054233987	0.02693194854067289	0.17188763190663947	0.010181775854230444	2.4753958362145503	-0.023639403185524783	-7407.985091099099	0.0	-314.114373840852
100000	-6248.951857045421	-431.54497896130096	-5817.40687808412	184.4013746276268	1824.5986253723731	1453.4924441497487	83.47278799106796	1925.527212008932	144.56884179660042	9.230020866221464	8.14358981307834	13.139240179812074	0.24544892709931976	0.28075229479982794	0.3645432449155231	0.10925553318532924	0.2790903768375243	0.22693956320043418	0.25073336221651354	0.24323669774552803	0.23909545112503175	0.2453052892259695	0.22346247167826308	0.2921367879707363	0.16730676195294117	0.2960260625886679	1.246089454949099	0.49799368459985427	0.07081499581056705	2.431191319589577	0.002206399324062184	0.004949128555912055	0.0018832706119097874	1.8177229704887583	-0.009228014583743834	-5817.40687808412	0.0	-420.02382773538164
150000	-5791.893770094721	-462.85698766315244	-5329.036782431568	428.2579541543626	1580.7420458456374	2382.4453449301773	124.11722751353196	1884.882772486468	241.71852342896105	10.021936573403316	2.724560696418354	14.396611911868778	0.23173698446148475	0.2926363979436129	0.27308762037406537	0.20253899722083685	0.323782694249478	0.26863179454561925	0.1811548038308075	0.22643070737409546	0.19419739556069227	0.2646626587992034	0.23027759059293376	0.3108623550471713	0.20856096893659995	0.11105741057376006	2.281980533638592	0.39989985285785223	0.0983985845134617	2.5017015626286865	0.0010847354946050217	0.0012640430971004632	9.010845172331985E-4	1.311906753475865	-0.02550729381969178	-5329.036782431568	0.0	-451.3965994070774
200000	-5790.7033050065165	-487.69444746989075	-5303.008857536626	296.6531183466869	1712.3468816533132	2606.0813322115378	139.43985100000228	1869.5601489999976	297.0170924142814	9.386251326870315	6.099168419917786	11.319727055649588	0.21383784591661575	0.33608982199551796	0.285467714685304	0.16460461740256221	0.2844374660016556	0.24871946024512803	0.24040366880505426	0.22643940494816187	0.22337208755527055	0.2401061384161411	0.2423205620104345	0.29420121201815486	0.20620780316136775	0.9524898778549178	2.1517246664648653	0.4336727082645987	0.0835938250674262	2.48273346666798	6.645551874690497E-4	5.581083934606246E-4	6.338472368313242E-4	0.7938061906796461	0.01986920507219623	-5303.008857536626	0.0	-475.32785187725267
250000	-5823.463702943575	-526.5682341933268	-5296.895468750248	534.4832253623847	1474.5167746376153	4327.982715379083	230.09479167328044	1778.9052083267195	539.2126846440518	7.730133257914668	8.788303504196868	10.243198800920053	0.30808110193585064	0.23344049118193635	0.31237001219779426	0.14610839468441877	0.30890393910344655	0.2677732744230621	0.22879373879469653	0.1945290476787945	0.2289417442883222	0.25030388466785536	0.23871045886256279	0.2820439121812606	0.20245309736524816	0.5619962339231919	4.045382272085037	0.4131200944048194	0.1139483702722946	2.47293153532289	5.038000486442699E-4	5.021012312118397E-4	4.0661114517061156E-4	0.7392378310698247	-0.23518877569132024	-5296.895468750248	0.0	-510.44755146929566
300000	-5853.135412248159	-552.4450384577118	-5300.690373790447	665.5693450873225	1343.4306549126775	5901.300815102695	341.10635780390487	1667.8936421960952	772.0761553613769	10.972243910283593	7.538721617010163	12.671030340490693	0.296865690794093	0.25213842878611165	0.31784756572031236	0.13314831469948307	0.29668769757492286	0.19857331807406042	0.2304685459654676	0.27427043838554876	0.20845177093595904	0.24640249323766364	0.2331096602826072	0.312036075543771	0.16769703772922603	0.6198432925694328	2.5959859678418242	0.377710709070882	0.09902802612088592	2.5232612648082355	3.731654015395506E-4	2.806605267836318E-4	3.2449415487804945E-4	0.6649725670334806	-0.1376586818521232	-5300.690373790447	0.0	-538.3118920567741
350000	-5871.9855468471815	-579.3768059160985	-5292.608740931083	1582.437233449409	426.56276655059105	9850.507983513126	518.6535207783406	1490.3464792216594	1097.9339245703693	11.283559436196052	9.50332317069995	11.203086761186743	0.26626143254235596	0.22133493799008958	0.34265259169616724	0.16975103777138734	0.2826168166937578	0.21035071497201155	0.24626803617768075	0.2607644321565497	0.21308194096774855	0.2449153825162874	0.23685556463770224	0.3051471118782631	0.23311190741014434	0.5004811442380052	2.034660414144723	0.3809248531178562	0.0757074911771668	2.543367655704979	2.337132569712889E-4	1.7292775059768797E-4	1.749356235178076E-4	0.6635340549393264	0.007197424445139821	-5292.608740931083	0.0	-566.2784464974154
400000	-5847.478903847579	-553.9416475254145	-5293.5372563221645	1250.5679669902538	758.4320330097462	7671.263530505739	339.9898470051023	1669.0101529948977	848.1075850251424	6.206450441182454	5.364821363622467	11.42903790345052	0.3106613463706996	0.2341689163007638	0.2935671887174045	0.16160254861113188	0.23926119967880266	0.23738371039591616	0.2766178530341448	0.24673723689113627	0.20461162556079715	0.23380468012256167	0.25382466393845843	0.30775903037818403	0.2257322479521085	0.23504591593467816	1.8530501822812424	0.33967651732360093	0.0930438582185328	2.567279624457868	3.509138127094401E-4	2.4756706095307513E-4	2.660042574631302E-4	0.7418764161920975	-0.09173581230425736	-5293.5372563221645	0.0	-543.2221810699325
450000	-5855.710222763034	-567.4892193710795	-5288.221003391955	1305.2849021134027	703.7150978865973	8502.162862140278	694.7349984312267	1314.2650015687732	1281.6571441293263	11.338544707366284	4.597996867570402	11.757596857781278	0.24072059558082823	0.258837346122072	0.3360365049069322	0.16440555339016732	0.3448843372322733	0.1850676300584603	0.1979361824539379	0.2721118502553283	0.2266988884145536	0.25396265106335625	0.2293565467457687	0.28998191377632254	0.20460555068702724	0.34059143015239735	2.211580749275446	0.3637734840764433	0.0913026777202175	2.5449238382033395	2.554182972162922E-4	1.9378879203566372E-4	1.9868047519069768E-4	0.7086472140177404	0.024466998982488417	-5288.221003391955	0.0	-555.2989870494561
